,0
0,17.704099999999993
1,15.442400000000012
2,1.542100000000002
3,1.542100000000002
4,1.542100000000002
5,1.542100000000002
6,1.542100000000002
7,1.542100000000002
8,1.542100000000002
9,1.542100000000002
10,1.542100000000002
11,1.273399999999997
12,1.273399999999997
13,1.273399999999997
14,1.273399999999997
15,1.273399999999997
16,1.273399999999997
17,1.273399999999997
18,1.273399999999997
19,1.273399999999997
20,1.273399999999997
21,1.273399999999997
22,1.273399999999997
23,1.273399999999997
24,1.273399999999997
25,1.273399999999997
26,1.2541000000000015
27,1.2541000000000015
28,1.2541000000000015
29,1.2541000000000015
30,1.2541000000000015
31,1.2541000000000015
32,1.222200000000004
33,1.222200000000004
34,1.222200000000004
35,1.222200000000004
36,1.222200000000004
37,1.222200000000004
38,1.222200000000004
39,1.222200000000004
40,1.222200000000004
41,1.222200000000004
42,1.222200000000004
43,1.222200000000004
44,1.222200000000004
45,1.222200000000004
46,1.222200000000004
47,1.222200000000004
48,1.222200000000004
49,1.222200000000004
50,1.222200000000004
51,1.222200000000004
52,1.222200000000004
53,1.222200000000004
54,1.222200000000004
55,1.222200000000004
56,1.222200000000004
57,1.222200000000004
58,1.222200000000004
59,1.222200000000004
60,1.222200000000004
61,1.222200000000004
62,1.222200000000004
63,1.222200000000004
64,1.222200000000004
65,1.222200000000004
66,1.222200000000004
67,1.222200000000004
68,1.222200000000004
69,1.222200000000004
70,1.222200000000004
71,1.222200000000004
72,1.222200000000004
73,1.222200000000004
74,1.222200000000004
75,1.222200000000004
76,1.222200000000004
77,1.222200000000004
78,1.222200000000004
79,1.222200000000004
80,1.222200000000004
81,1.222200000000004
82,1.222200000000004
83,1.222200000000004
84,1.222200000000004
85,1.222200000000004
86,1.222200000000004
87,1.222200000000004
88,1.222200000000004
89,1.222200000000004
90,1.222200000000004
91,1.222200000000004
92,1.222200000000004
93,1.222200000000004
94,1.222200000000004
95,1.222200000000004
96,1.222200000000004
97,1.222200000000004
98,1.222200000000004
99,1.222200000000004
100,1.222200000000004
101,1.222200000000004
102,1.222200000000004
103,1.222200000000004
104,1.222200000000004
105,1.222200000000004
106,1.222200000000004
107,1.222200000000004
108,1.222200000000004
109,1.222200000000004
110,1.222200000000004
111,1.222200000000004
112,1.222200000000004
113,1.222200000000004
114,1.222200000000004
115,1.222200000000004
116,1.222200000000004
117,1.222200000000004
118,1.222200000000004
119,1.222200000000004
120,1.222200000000004
121,1.222200000000004
122,1.222200000000004
123,1.222200000000004
124,1.222200000000004
125,1.222200000000004
126,1.222200000000004
127,1.222200000000004
128,1.222200000000004
129,1.222200000000004
130,1.222200000000004
131,1.222200000000004
132,1.222200000000004
