,0
42,"id: 2227164, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
43,"id: 2227466, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
44,"id: 2227768, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
45,"id: 2228070, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
46,"id: 2228372, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
47,"id: 2228674, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
48,"id: 2228976, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
49,"id: 2229278, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
50,"id: 2229580, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
51,"id: 2229882, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
52,"id: 2230184, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
53,"id: 2230486, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
54,"id: 2230788, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
55,"id: 2231090, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
56,"id: 2231392, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
57,"id: 2231694, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
58,"id: 2231996, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
59,"id: 2232298, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
60,"id: 2232600, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
61,"id: 2232902, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
62,"id: 2233204, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
63,"id: 2233506, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
64,"id: 2233808, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
65,"id: 2234110, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
66,"id: 2234412, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
67,"id: 2234714, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
68,"id: 2235016, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
69,"id: 2235318, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
70,"id: 2235620, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
71,"id: 2235922, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
72,"id: 2236224, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
73,"id: 2236526, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
74,"id: 2236828, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
75,"id: 2237130, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
76,"id: 2237432, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
77,"id: 2237734, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
78,"id: 2238036, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
79,"id: 2238338, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
80,"id: 2238640, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
81,"id: 2238942, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
82,"id: 2239244, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
83,"id: 2239546, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
84,"id: 2239848, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
85,"id: 2240150, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
86,"id: 2240452, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
87,"id: 2240754, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
88,"id: 2241056, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
89,"id: 2241358, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
90,"id: 2241660, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
91,"id: 2241962, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
92,"id: 2242264, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
93,"id: 2242566, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
94,"id: 2242868, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
95,"id: 2243170, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
96,"id: 2243472, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
97,"id: 2243774, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
98,"id: 2244076, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
99,"id: 2244378, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
100,"id: 2244680, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
101,"id: 2244982, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
102,"id: 2245284, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
103,"id: 2245586, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
104,"id: 2245888, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
105,"id: 2246190, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
106,"id: 2246492, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
107,"id: 2246794, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
108,"id: 2247096, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
109,"id: 2247398, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
110,"id: 2247700, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
111,"id: 2248002, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
112,"id: 2248304, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
113,"id: 2248606, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
114,"id: 2248908, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
115,"id: 2249210, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
116,"id: 2249512, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
117,"id: 2249814, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
118,"id: 2250116, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
119,"id: 2250418, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
120,"id: 2250720, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
121,"id: 2251022, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
122,"id: 2251324, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
123,"id: 2251626, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
124,"id: 2251928, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
125,"id: 2252230, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
126,"id: 2252532, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
127,"id: 2252834, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
128,"id: 2253136, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
129,"id: 2253438, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
130,"id: 2253740, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
131,"id: 2254042, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
132,"id: 2254344, target: Objectives: [192273.823], Fitness: 192273.823, solution: [0.79636349 0.12935533 1.2815818  3.89818672 0.17229974 1.74304844]"
